"Taux de pauvrete total","Taux de pauvrete > 30 ","Taux de pauvrete 30 - 39","Taux de pauvrete 40 - 49","Taux de pauvrete 50 -59","Taux de pauvrete 60 -74","Taux de pauvrete => 75","part_actifs_stables : ","PDDT tec","esperance de vie homme"," part des vehicules criticair 1 essence","Moy_dist_km_actif","Moy_dist_min_actif"," Emission en equivalent CO2 pour le methane","nombre de personnes en logement social","part des foyers fiscaux imposés","accessiblité potentielle au medecins generalistes","revenu fiscal median declaré par unité","esperance de vie des femmr"
12.6,22,14.1,13.6,12.3,8.7,9.2,30.94,11.74,80.3,136141,24.8789357183025,24.8153531358375,NA,205576.20157233,53.6,4.59467467284369,22540,85.8
19.7,31.6,22.7,22.6,20.2,14.1,12.4,43.05,8.97,79.9,92173,23.2413030966548,25.8162911764515,NA,131280.741138835,45.8,4.32631550531914,20000,85.6
10.5,20.1,11.9,11,9.4,6.7,7.7,32.08,9.8,79.9,74338,22.8931815755555,23.5274871752266,NA,127019.904138272,51.4,3.93534350439317,22130,85.9
14.5,24.3,18,17,14.5,10.1,10.9,39.42,2.74,77.8,12954,19.5743477244478,20.1840619177859,NA,28073.7486510779,42.9,2.56524964338528,19740,84.8
13,23.2,15.4,14.4,12.5,8.6,8.1,31.11,9.29,80,49821,23.8476949109932,23.2907747479373,NA,94075.2398598185,50.3,3.80689906350617,21610,86.2
11.3,19.7,13.2,12.7,10.5,7.5,7.6,26.26,11.29,81.3,108810,21.4895060009577,23.1480772773694,NA,177756.763443509,54.9,3.80804826335385,22830,86
11.8,16.8,13.9,13.7,11.5,8.4,9.1,30.33,2.45,79.9,22018,19.7593250847653,20.3898776063851,NA,26252.7449357283,50,3.52773353155324,21500,84.9
11.8,19,13.7,13.8,12,8.1,9.6,32.79,1.83,79.8,34194,27.1263010257522,23.3365573386195,NA,24972.2289890668,48.4,3.87894793052429,21250,85.2
12.6,19.7,16.9,15.4,12.5,7.8,7.2,32.49,3.94,79.4,22871,21.8500899188836,22.0914401904061,NA,39586.6812628023,49.5,2.78964599780156,21130,85.1
15,24.3,17.9,17.9,14.9,9.5,9.1,32.14,7.8,80.6,57552,20.5878291134983,23.8533998979862,NA,109345.175656979,45.3,3.5324278407072,20180,85.7
12.1,17.9,12.7,13.6,11.9,9.1,11.4,32.23,1.57,79.2,16675,18.8014946288772,21.2759983289606,NA,13099.6806263671,42.8,3.52344789119341,20090,85.5
